txn_date,credited_amount,narration
2026-08-03,48722,CMS/NEFT/RZP2026080100UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-03,50186,CMS/NEFT/RZP2026080101UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-03,51652,CMS/NEFT/RZP2026080102UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-04,53116,CMS/NEFT/RZP2026080103UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-04,54580,CMS/NEFT/RZP2026080104UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-04,56046,CMS/NEFT/RZP2026080105UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-05,57510,CMS/NEFT/RZP2026080106UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-05,58974,CMS/NEFT/RZP2026080107UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-05,60440,CMS/NEFT/RZP2026080108UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-06,61904,CMS/NEFT/RZP2026080109UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-06,55655,CMS/NEFT/RZP2026080110UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-06,56826,CMS/NEFT/RZP2026080111UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-07,57998,CMS/NEFT/RZP2026080112UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-07,59170,CMS/NEFT/RZP2026080113UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-07,60342,CMS/NEFT/RZP2026080114UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-08,61513,CMS/NEFT/RZP2026080115UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-08,62685,CMS/NEFT/RZP2026080116UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-08,63857,CMS/NEFT/RZP2026080117UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-09,65028,CMS/NEFT/RZP2026080118UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-09,66200,CMS/NEFT/RZP2026080119UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-09,67372,CMS/NEFT/RZP2026080120UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-10,68543,CMS/NEFT/RZP2026080121UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-10,69715,CMS/NEFT/RZP2026080122UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-10,70887,CMS/NEFT/RZP2026080123UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-11,72058,CMS/NEFT/RZP2026080124UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-11,73230,CMS/NEFT/RZP2026080125UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-11,74402,CMS/NEFT/RZP2026080126UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-12,75573,CMS/NEFT/RZP2026080127UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-12,76745,CMS/NEFT/RZP2026080128UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-12,77917,CMS/NEFT/RZP2026080129UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-13,79088,CMS/NEFT/RZP2026080130UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-13,80260,CMS/NEFT/RZP2026080131UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-13,81432,CMS/NEFT/RZP2026080132UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-14,82603,CMS/NEFT/RZP2026080133UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-14,83775,CMS/NEFT/RZP2026080134UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-15,82994,NEFT-RZP2026080135UTR-RAZORPAY BATCH
2026-08-16,86412,NEFT-RZP2026080136UTR-RAZORPAY BATCH
2026-08-17,89829,NEFT-RZP2026080137UTR-RAZORPAY BATCH
2026-08-18,93246,NEFT-RZP2026080138UTR-RAZORPAY BATCH
2026-08-19,96663,NEFT-RZP2026080139UTR-RAZORPAY BATCH
2026-08-21,58584,CMS/NEFT/RZP2026080140UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-22,61513,CMS/NEFT/RZP2026080141UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-23,64442,CMS/NEFT/RZP2026080142UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-24,67372,CMS/NEFT/RZP2026080143UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-25,70301,CMS/NEFT/RZP2026080144UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-21,-40000,REV-NEFT-RZP2026080145UTR-RAZORPAY REFUND
2026-08-22,-45000,REV-NEFT-RZP2026080146UTR-RAZORPAY REFUND
2026-08-23,50773,NEFT-RZP2026080147-RAZORPAY
2026-08-24,53214,CMS/NEFT/RZPXXXX080148UTR/RAZORPAY
2026-08-25,55655,INB-UTR-2026080149UTR-RZP
2026-08-25,47748,CMS/NEFT/RZP2026080150UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-26,50967,CMS/NEFT/RZP2026080151UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-29,53702,CMS/NEFT/RZP2026080154UTR/RAZORPAY SOFTWARE PVT LTD
2026-08-30,53702,CMS/NEFT/RZP2026080155UTR/RAZORPAY SOFTWARE PVT LTD
2026-09-01,96736,NEFT-RZP2026080157XUNEXP-RAZORPAY
