order_id,razorpay_payment_id,order_amount,order_date,status
ORD-1000,pay_TTxsxQQYkeUo4E,49900,2026-08-01,paid
ORD-1001,pay_TTxtRFaaOOTqyZ,51400,2026-08-01,paid
ORD-1002,pay_TTxtyhVPFLVr1Y,52900,2026-08-01,paid
ORD-1003,pay_TTxvMR37pU1Iz3,54400,2026-08-02,paid
ORD-1004,pay_TTxvmJU67Y2e0f,55900,2026-08-02,paid
ORD-1005,pay_TTxwKOzYg3ryXL,57400,2026-08-02,paid
ORD-1006,pay_TTxwzHAdq6zGZH,58900,2026-08-03,paid
ORD-1007,pay_TTxxOmL50Xji2G,60400,2026-08-03,paid
ORD-1008,pay_TTxy4qpBmnetZe,61900,2026-08-03,paid
ORD-1009,pay_TTxyYvLbYwqfW8,63400,2026-08-04,paid
ORD-1010,pay_SYN01015eByIHqrh,57000,2026-08-04,paid
ORD-1011,pay_SYN011L9qhdL6nml,58200,2026-08-04,paid
ORD-1012,pay_SYN012OJxYnyPCRz,59400,2026-08-05,paid
ORD-1013,pay_SYN0132eh4e6hDmm,60600,2026-08-05,paid
ORD-1014,pay_SYN014FHG4DxfsgV,61800,2026-08-05,paid
ORD-1015,pay_SYN015dkL3ONo4Uz,63000,2026-08-06,paid
ORD-1016,pay_SYN016duSD88KxKq,64200,2026-08-06,paid
ORD-1017,pay_SYN017mZ8uKR99GA,65400,2026-08-06,paid
ORD-1018,pay_SYN018nZwYR0IGxg,66600,2026-08-07,paid
ORD-1019,pay_SYN0196qsXSgvbUR,67800,2026-08-07,paid
ORD-1020,pay_SYN020QvcnaXVUBu,69000,2026-08-07,paid
ORD-1021,pay_SYN021VSPj3SW5u4,70200,2026-08-08,paid
ORD-1022,pay_SYN022L7tygSqdxJ,71400,2026-08-08,paid
ORD-1023,pay_SYN023IoFnTrf31y,72600,2026-08-08,paid
ORD-1024,pay_SYN0240H341kvhux,73800,2026-08-09,paid
ORD-1025,pay_SYN025ftp5ElpR3E,75000,2026-08-09,paid
ORD-1026,pay_SYN0263JN6bx8bsS,76200,2026-08-09,paid
ORD-1027,pay_SYN027rRy3ZPYVQa,77400,2026-08-10,paid
ORD-1028,pay_SYN028tRTa0oVMhH,78600,2026-08-10,paid
ORD-1029,pay_SYN029Fubd3J3j3t,79800,2026-08-10,paid
ORD-1030,pay_SYN0309X4bAFe7Tf,81000,2026-08-11,paid
ORD-1031,pay_SYN031CpAwVcIeoF,82200,2026-08-11,paid
ORD-1032,pay_SYN032sVW0Cy6xv8,83400,2026-08-11,paid
ORD-1033,pay_SYN033SSm9PHBZE0,84600,2026-08-12,paid
ORD-1034,pay_SYN034iFW876ygBI,85800,2026-08-12,paid
ORD-1035,pay_SYN100GQvfU3DP2k,50000,2026-08-13,paid
ORD-1036,pay_SYN1018YarHy6WG9,35000,2026-08-13,paid
ORD-1037,pay_SYN1022myq2mVY2m,52000,2026-08-14,paid
ORD-1038,pay_SYN103GFlySYKVea,36500,2026-08-14,paid
ORD-1039,pay_SYN104NapbVMpFJf,54000,2026-08-15,paid
ORD-1040,pay_SYN1059Hn2tcUlOS,38000,2026-08-15,paid
ORD-1041,pay_SYN106dEoh4LlvGQ,56000,2026-08-16,paid
ORD-1042,pay_SYN107k1SgzY2AlM,39500,2026-08-16,paid
ORD-1043,pay_SYN108rZ7Tb2rwOG,58000,2026-08-17,paid
ORD-1044,pay_SYN109WJcqWVCF7T,41000,2026-08-17,paid
ORD-1045,pay_SYN200vFkHybFnKa,60000,2026-08-16,paid
ORD-1046,pay_SYN201zpPidMBjrF,63000,2026-08-17,paid
ORD-1047,pay_SYN202vNXJEhFC5X,66000,2026-08-18,paid
ORD-1048,pay_SYN203ejO92ZBLsS,69000,2026-08-19,paid
ORD-1049,pay_SYN204zIno9GTRSM,72000,2026-08-20,paid
ORD-1050,pay_SYN300dNHsyU78sw,40000,2026-08-19,refunded
ORD-1051,pay_SYN301yjKrOTqUr9,45000,2026-08-20,refunded
ORD-1052,pay_SYN400RrKQhMuerI,52000,2026-08-21,paid
ORD-1053,pay_SYN401ekT49n9dpk,54500,2026-08-22,paid
ORD-1054,pay_SYN402s3PoLW1Szt,57000,2026-08-23,paid
ORD-1055,pay_SYN500WioTPxJNTu,48900,2026-08-23,paid
ORD-1056,pay_SYN501guoFNIQVYx,52200,2026-08-24,paid
ORD-1057,pay_SYN600UAF5qRbgks,70000,2026-08-25,paid
ORD-1058,pay_SYN601kShWqPtK3X,74000,2026-08-26,paid
ORD-1059,pay_SYN700d4X21fQCet,55000,2026-08-27,paid
ORD-1060,pay_SYN8007WsfmBXIMa,62000,2026-08-29,paid
