settlement_id,payment_ids,amount,fees,tax,net_settled_amount,utr,settled_at
setl_CLN000,"[""pay_TTxsxQQYkeUo4E""]",49900,998,180,48722,RZP2026080100UTR,2026-08-03
setl_CLN001,"[""pay_TTxtRFaaOOTqyZ""]",51400,1028,186,50186,RZP2026080101UTR,2026-08-03
setl_CLN002,"[""pay_TTxtyhVPFLVr1Y""]",52900,1058,190,51652,RZP2026080102UTR,2026-08-03
setl_CLN003,"[""pay_TTxvMR37pU1Iz3""]",54400,1088,196,53116,RZP2026080103UTR,2026-08-04
setl_CLN004,"[""pay_TTxvmJU67Y2e0f""]",55900,1118,202,54580,RZP2026080104UTR,2026-08-04
setl_CLN005,"[""pay_TTxwKOzYg3ryXL""]",57400,1148,206,56046,RZP2026080105UTR,2026-08-04
setl_CLN006,"[""pay_TTxwzHAdq6zGZH""]",58900,1178,212,57510,RZP2026080106UTR,2026-08-05
setl_CLN007,"[""pay_TTxxOmL50Xji2G""]",60400,1208,218,58974,RZP2026080107UTR,2026-08-05
setl_CLN008,"[""pay_TTxy4qpBmnetZe""]",61900,1238,222,60440,RZP2026080108UTR,2026-08-05
setl_CLN009,"[""pay_TTxyYvLbYwqfW8""]",63400,1268,228,61904,RZP2026080109UTR,2026-08-06
setl_CLN010,"[""pay_SYN01015eByIHqrh""]",57000,1140,205,55655,RZP2026080110UTR,2026-08-06
setl_CLN011,"[""pay_SYN011L9qhdL6nml""]",58200,1164,210,56826,RZP2026080111UTR,2026-08-06
setl_CLN012,"[""pay_SYN012OJxYnyPCRz""]",59400,1188,214,57998,RZP2026080112UTR,2026-08-07
setl_CLN013,"[""pay_SYN0132eh4e6hDmm""]",60600,1212,218,59170,RZP2026080113UTR,2026-08-07
setl_CLN014,"[""pay_SYN014FHG4DxfsgV""]",61800,1236,222,60342,RZP2026080114UTR,2026-08-07
setl_CLN015,"[""pay_SYN015dkL3ONo4Uz""]",63000,1260,227,61513,RZP2026080115UTR,2026-08-08
setl_CLN016,"[""pay_SYN016duSD88KxKq""]",64200,1284,231,62685,RZP2026080116UTR,2026-08-08
